LOC,DAY,TEMP
울산,202201,-0.6
울산,202201,3.4
울산,202201,2.8
울산,202201,3.1
울산,202201,3.5
울산,202201,4.7
울산,202201,3.9
울산,202201,4.6
울산,202201,5.5
울산,202201,6.2
울산,202201,0.2
울산,202201,-1.9
울산,202201,-1.9
울산,202201,-2.1
울산,202201,2.8
울산,202201,3
울산,202201,0.5
울산,202201,-1.8
울산,202201,0.9
울산,202201,-0.1
울산,202201,2.2
울산,202201,4.6
울산,202201,7.2
울산,202201,5.2
울산,202201,5.9
울산,202201,4.7
울산,202201,4.7
울산,202201,3.4
울산,202201,2.1
울산,202201,1.7
울산,202201,2
울산,202202,2.3
울산,202202,1.2
울산,202202,1.6
울산,202202,0.6
울산,202202,-2
울산,202202,-0.5
울산,202202,1.3
울산,202202,2.7
울산,202202,4.2
울산,202202,6.3
울산,202202,5.2
울산,202202,6.7
울산,202202,6.4
울산,202202,7.6
울산,202202,1.9
울산,202202,-2.6
울산,202202,-3.6
울산,202202,1.7
울산,202202,4
울산,202202,-1.4
울산,202202,0.9
울산,202202,0.2
울산,202202,-1
울산,202202,1
울산,202202,5.6
울산,202202,7.8
울산,202202,7.3
울산,202202,9
울산,202203,11.3
울산,202203,7
울산,202203,8.2
울산,202203,9.8
울산,202203,8.4
울산,202203,3.8
울산,202203,5.6
울산,202203,8.4
울산,202203,9.4
울산,202203,11.4
울산,202203,13.7
울산,202203,14.3
울산,202203,15.1
울산,202203,10.8
울산,202203,10.3
울산,202203,13.1
울산,202203,9.2
울산,202203,6.4
울산,202203,4.5
울산,202203,6.4
울산,202203,8
울산,202203,8
울산,202203,7.6
울산,202203,10.3
울산,202203,13.6
울산,202203,15.6
울산,202203,13.9
울산,202203,8.2
울산,202203,10
울산,202203,14
울산,202203,9.7
울산,202204,8.2
울산,202204,9.2
울산,202204,10.4
울산,202204,11.7
울산,202204,14.3
울산,202204,14.6
울산,202204,15
울산,202204,13.6
울산,202204,18.8
울산,202204,18.7
울산,202204,19.4
울산,202204,19
울산,202204,11.2
울산,202204,9.9
울산,202204,10.8
울산,202204,11.1
울산,202204,14.5
울산,202204,16.9
울산,202204,16.8
울산,202204,18.5
울산,202204,14.2
울산,202204,18.1
울산,202204,17.1
울산,202204,18.1
울산,202204,20.6
울산,202204,18
울산,202204,16.1
울산,202204,14.5
울산,202204,10.5
울산,202204,12.3
울산,202205,13.8
울산,202205,12.2
울산,202205,13.9
울산,202205,17.8
울산,202205,18
울산,202205,18.8
울산,202205,17.5
울산,202205,14.5
울산,202205,15.1
울산,202205,15.3
울산,202205,18.5
울산,202205,18.6
울산,202205,15.8
울산,202205,18
울산,202205,15.8
울산,202205,17.1
울산,202205,19.7
울산,202205,22.3
울산,202205,22.4
울산,202205,20.5
울산,202205,21.5
울산,202205,23.1
울산,202205,20.5
울산,202205,22.8
울산,202205,23
울산,202205,21.4
울산,202205,23.7
울산,202205,24.8
울산,202205,24.5
울산,202205,21.7
울산,202205,22.2
울산,202206,22.6
울산,202206,22.4
울산,202206,21.6
울산,202206,19.8
울산,202206,17.7
울산,202206,17.3
울산,202206,15.7
울산,202206,16.3
울산,202206,18.4
울산,202206,19.7
울산,202206,20.2
울산,202206,19.2
울산,202206,18.8
울산,202206,16.9
울산,202206,19.9
울산,202206,23.4
울산,202206,23.8
울산,202206,25.8
울산,202206,25.5
울산,202206,25.2
울산,202206,24.7
울산,202206,25.6
울산,202206,26.2
울산,202206,25.7
울산,202206,26
울산,202206,27.2
울산,202206,25.2
울산,202206,27.2
울산,202206,26.8
울산,202206,27.9
울산,202207,27.4
울산,202207,28
울산,202207,27.5
울산,202207,27.2
울산,202207,26.1
울산,202207,26.7
울산,202207,28.6
울산,202207,28.4
울산,202207,27.1
울산,202207,25.7
울산,202207,24.9
울산,202207,23.7
울산,202207,23.4
울산,202207,26.4
울산,202207,26.5
울산,202207,25.5
울산,202207,25.8
울산,202207,22.4
울산,202207,25.2
울산,202207,27.5
울산,202207,26.4
울산,202207,24.1
울산,202207,23.9
울산,202207,26.1
울산,202207,25
울산,202207,24.6
울산,202207,24.8
울산,202207,25.2
울산,202207,26.8
울산,202207,27.4
울산,202207,26.9
울산,202208,28.4
울산,202208,28.4
울산,202208,29.4
울산,202208,30
울산,202208,29.8
울산,202208,30.3
울산,202208,30.7
울산,202208,29.7
울산,202208,29.1
울산,202208,28.7
울산,202208,27.5
울산,202208,28.6
울산,202208,26.7
울산,202208,29.1
울산,202208,30.2
울산,202208,26
울산,202208,23.9
울산,202208,24.4
울산,202208,27.3
울산,202208,26
울산,202208,24.6
울산,202208,24.7
울산,202208,25.5
울산,202208,21.7
울산,202208,24.1
울산,202208,23.8
울산,202208,22.5
울산,202208,21.3
울산,202208,22.5
울산,202208,21.2
울산,202208,21
울산,202209,21.8
울산,202209,21.2
울산,202209,21.9
울산,202209,24.9
울산,202209,25.8
울산,202209,23.9
울산,202209,21.5
울산,202209,21.3
울산,202209,21.9
울산,202209,22.1
울산,202209,22.8
울산,202209,22.5
울산,202209,23.4
울산,202209,23.5
울산,202209,22.8
울산,202209,23.3
울산,202209,24.5
울산,202209,25.3
울산,202209,21.9
울산,202209,18.5
울산,202209,17.2
울산,202209,19.4
울산,202209,21.3
울산,202209,18.3
울산,202209,18.5
울산,202209,18.8
울산,202209,20.1
울산,202209,19.9
울산,202209,20.5
울산,202209,20.8
울산,202210,21.7
울산,202210,22.2
울산,202210,24.7
울산,202210,20.9
울산,202210,16.4
울산,202210,16.8
울산,202210,16
울산,202210,15.7
울산,202210,15.4
울산,202210,14.5
울산,202210,13.7
울산,202210,15.7
울산,202210,18
울산,202210,17.1
울산,202210,17.9
울산,202210,18.6
울산,202210,16.4
울산,202210,11.5
울산,202210,11.3
울산,202210,13.4
울산,202210,15.6
울산,202210,17.9
울산,202210,15.1
울산,202210,12.3
울산,202210,12.1
울산,202210,13.7
울산,202210,15.1
울산,202210,14.6
울산,202210,14.6
울산,202210,13.5
울산,202210,14.3
울산,202211,15.3
울산,202211,14.7
울산,202211,14.4
울산,202211,10
울산,202211,9.1
울산,202211,10.4
울산,202211,11.4
울산,202211,13
울산,202211,13.5
울산,202211,14.5
울산,202211,14.6
울산,202211,17.8
울산,202211,16.6
울산,202211,12
울산,202211,10
울산,202211,11.2
울산,202211,10.9
울산,202211,11.8
울산,202211,14.2
울산,202211,14
울산,202211,14.3
울산,202211,14.1
울산,202211,13.5
울산,202211,11.1
울산,202211,12.8
울산,202211,13.2
울산,202211,10.7
울산,202211,16.6
울산,202211,14.5
울산,202211,1.6
울산,202212,0
울산,202212,1
울산,202212,6.1
울산,202212,4.8
울산,202212,1.8
울산,202212,3.1
울산,202212,5.4
울산,202212,6.8
울산,202212,8
울산,202212,8.1
울산,202212,6.3
울산,202212,6.6
울산,202212,5.9
울산,202212,-2.1
울산,202212,0.6
울산,202212,1.5
울산,202212,-1.2
울산,202212,-4.6
울산,202212,-1.9
울산,202212,0.8
울산,202212,2.9
울산,202212,-1.1
울산,202212,-4.4
울산,202212,-3
울산,202212,0.6
울산,202212,1.2
울산,202212,2.4
울산,202212,2.5
울산,202212,0.9
울산,202212,1.5
울산,202212,2.2
양산시,202201,-0.2
양산시,202201,1.3
양산시,202201,1.4
양산시,202201,1.9
양산시,202201,4.1
양산시,202201,4.6
양산시,202201,1.8
양산시,202201,1.8
양산시,202201,3.1
양산시,202201,4.7
양산시,202201,2
양산시,202201,-0.5
양산시,202201,-0.5
양산시,202201,-0.7
양산시,202201,1.5
양산시,202201,3
양산시,202201,1.2
양산시,202201,-1.1
양산시,202201,0.5
양산시,202201,1.2
양산시,202201,1.3
양산시,202201,4.1
양산시,202201,7.9
양산시,202201,5.9
양산시,202201,6
양산시,202201,4.9
양산시,202201,4.2
양산시,202201,4.7
