HSHD_TYPE_NM,AREA_NM,CTGG_NM,EMD_NM,USEAMT,TEMP,SECT_1,SECT_2,SECT_3,SECT_4,SECT_5,SECT_6,SECT_7,SECT_8,SECT_9,SECT_10,SECT_11,H_DAY,T_STD,Unnamed: 19,Unnamed: 20
다세대주택(빌라),경남,양산시,교동,47,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,교동,168,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,교동,4,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,교동,68,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,교동,82,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,교동,287,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,교동,116,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,교동,18,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,교동,46,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,교동,94,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,교동,135,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,교동,158,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,교동,95,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,교동,2,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,교동,35,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,교동,50,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,교동,227,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,교동,34,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,교동,145,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,교동,132,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
