HSHD_TYPE_NM,AREA_NM,CTGG_NM,EMD_NM,USEAMT,TEMP,SECT_1,SECT_2,SECT_3,SECT_4,SECT_5,SECT_6,SECT_7,SECT_8,SECT_9,SECT_10,SECT_11,H_DAY,T_STD
다세대주택(빌라),경남,양산시,교동,52,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,114,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,206,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,48,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,79,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,73,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,125,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,185,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,80,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,9,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,55,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,43,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,3,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,161,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,120,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,59,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,28,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,187,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,154,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,140,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,106,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,55,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,60,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,75,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,5,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,89,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,34,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,79,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,68,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,33,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,46,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,19,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,94,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,194,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,107,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,69,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,50,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,49,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,91,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,98,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,68,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,70,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,68,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,58,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,103,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
다세대주택(빌라),경남,양산시,교동,173,10.1,0,0,0,0,0,0,5,16,26,30,31,10,2.894790613
